symbol,name,market,exchange
20MICRONS,20 Microns Limited,india,NSE
21STCENMGM,21st Century Management Services Limited,india,NSE
360ONE,360 ONE WAM LIMITED,india,NSE
3BBLACKBIO,3B Blackbio Dx Limited,india,NSE
3IINFOLTD,3i Infotech Limited,india,NSE
3MINDIA,3M India Limited,india,NSE
3PLAND,3P Land Holdings Limited,india,NSE
5PAISA,5Paisa Capital Limited,india,NSE
63MOONS,63 moons technologies limited,india,NSE
A2ZINFRA,A2Z Infra Engineering Limited,india,NSE
AAATECH,AAA Technologies Limited,india,NSE
AADHARHFC,Aadhar Housing Finance Limited,india,NSE
AAKASH,Aakash Exploration Services Limited,india,NSE
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,india,NSE
AARNAV,Aarnav Fashions Limited,india,NSE
AARON,Aaron Industries Limited,india,NSE
AARTECH,Aartech Solonics Limited,india,NSE
AARTIDRUGS,Aarti Drugs Limited,india,NSE
AARTIIND,Aarti Industries Limited,india,NSE
AARTIPHARM,Aarti Pharmalabs Limited,india,NSE
AARTISURF,Aarti Surfactants Limited,india,NSE
AARVI,Aarvi Encon Limited,india,NSE
AASTHA,Aastha Spintex Limited,india,NSE
AAVAS,Aavas Financiers Limited,india,NSE
ABAN,Aban Offshore Limited,india,NSE
ABANSENT,Abans Enterprises Limited,india,NSE
ABB,ABB India Limited,india,NSE
ABBOTINDIA,Abbott India Limited,india,NSE
ABCAPITAL,Aditya Birla Capital Limited,india,NSE
ABCOTS,A B Cotspin India Limited,india,NSE
ABDL,Allied Blenders and Distillers Limited,india,NSE
ABFRL,Aditya Birla Fashion and Retail Limited,india,NSE
ABINFRA,A B Infrabuild Limited,india,NSE
ABLBL,Aditya Birla Lifestyle Brands Limited,india,NSE
ABMINTLLTD,ABM International Limited,india,NSE
ABMKNO,ABM Knowledgeware Limited,india,NSE
ABREL,Aditya Birla Real Estate Limited,india,NSE
ABSLAMC,Aditya Birla Sun Life AMC Limited,india,NSE
ACC,ACC Limited,india,NSE
ACCELYA,Accelya Solutions India Limited,india,NSE
ACCURACY,Accuracy Shipping Limited,india,NSE
ACE,Action Construction Equipment Limited,india,NSE
ACEINTEG,Ace Integrated Solutions Limited,india,NSE
ACI,Archean Chemical Industries Limited,india,NSE
ACL,Andhra Cements Limited,india,NSE
ACMESOLAR,Acme Solar Holdings Limited,india,NSE
ACSTECH,ACS Technologies Limited,india,NSE
ACUTAAS,Acutaas Chemicals Limited,india,NSE
ADANIENSOL,Adani Energy Solutions Limited,india,NSE
ADANIENT,Adani Enterprises Limited,india,NSE
ADANIGREEN,Adani Green Energy Limited,india,NSE
ADANIPORTS,Adani Ports and Special Economic Zone Limited,india,NSE
ADANIPOWER,Adani Power Limited,india,NSE
ADFFOODS,ADF Foods Limited,india,NSE
ADL,Archidply Decor Limited,india,NSE
ADOR,Ador Welding Limited,india,NSE
ADROITINFO,Adroit Infotech Limited,india,NSE
ADSL,Allied Digital Services Limited,india,NSE
ADVAIT,Advait Energy Transitions Limited,india,NSE
ADVANCE,Advance Agrolife Limited,india,NSE
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,india,NSE
ADVENTHTL,Advent Hotels International Limited,india,NSE
ADVENZYMES,Advanced Enzyme Technologies Limited,india,NSE
AEGISLOG,Aegis Logistics Limited,india,NSE
AEGISVOPAK,Aegis Vopak Terminals Limited,india,NSE
AEPL,Artemis Electricals and Projects Limited,india,NSE
AEQUS,Aequs Limited,india,NSE
AEROENTER,Aeroflex Enterprises Limited,india,NSE
AEROFLEX,Aeroflex Industries Limited,india,NSE
AERONEU,Aeroflex Neu Limited,india,NSE
AETHER,Aether Industries Limited,india,NSE
AFCONS,Afcons Infrastructure Limited,india,NSE
AFFLE,Affle 3i Limited,india,NSE
AFFORDABLE,Affordable Robotic & Automation Limited,india,NSE
AFIL,Akme Fintrade (India) Limited,india,NSE
AFSL,Abans Financial Services Limited,india,NSE
AGARIND,Agarwal Industrial Corporation Limited,india,NSE
AGARWALEYE,Dr. Agarwal's Health Care Limited,india,NSE
AGI,AGI Greenpac Limited,india,NSE
AGIIL,Agi Infra Limited,india,NSE
AGL,Allcargo Global Limited,india,NSE
AGRITECH,Agri-Tech (India) Limited,india,NSE
AGROPHOS,Agro Phos India Limited,india,NSE
AHCL,Anlon Healthcare Limited,india,NSE
AHLADA,Ahlada Engineers Limited,india,NSE
AHLEAST,Asian Hotels (East) Limited,india,NSE
AHLUCONT,Ahluwalia Contracts (India) Limited,india,NSE
AHLWEST,Asian Hotels (West) Limited,india,NSE
AIAENG,AIA Engineering Limited,india,NSE
AIIL,Authum Investment & Infrastructure Limited,india,NSE
AIRAN,Airan Limited,india,NSE
AIROLAM,Airo Lam limited,india,NSE
AJANTPHARM,Ajanta Pharma Limited,india,NSE
AJAXENGG,Ajax Engineering Limited,india,NSE
AJMERA,Ajmera Realty & Infra India Limited,india,NSE
AJOONI,Ajooni Biotech Limited,india,NSE
AKASH,Akash Infra-Projects Limited,india,NSE
AKCAPIT,AK Capital Services Limited,india,NSE
AKG,Akg Exim Limited,india,NSE
AKI,AKI India Limited,india,NSE
AKSHAR,Akshar Spintex Limited,india,NSE
AKSHARCHEM,AksharChem India Limited,india,NSE
AKSHOPTFBR,Aksh Optifibre Limited,india,NSE
AKUMS,Akums Drugs and Pharmaceuticals Limited,india,NSE
ALANKIT,Alankit Limited,india,NSE
ALBERTDAVD,Albert David Limited,india,NSE
ALEMBICLTD,Alembic Limited,india,NSE
ALGOQUANT,Algoquant Fintech Limited,india,NSE
ALICON,Alicon Castalloy Limited,india,NSE
ALIVUS,Alivus Life Sciences Limited,india,NSE
ALKALI,Alkali Metals Limited,india,NSE
ALKEM,Alkem Laboratories Limited,india,NSE
ALKYLAMINE,Alkyl Amines Chemicals Limited,india,NSE
ALLCARGO,Allcargo Logistics Limited,india,NSE
ALLDIGI,Alldigi Tech Limited,india,NSE
ALLTIME,All Time Plastics Limited,india,NSE
ALMONDZ,Almondz Global Securities Limited,india,NSE
ALOKINDS,Alok Industries Limited,india,NSE
ALPA,Alpa Laboratories Limited,india,NSE
ALPHAGEO,Alphageo (India) Limited,india,NSE
AMAGI,Amagi Media Labs Limited,india,NSE
AMANTA,Amanta Healthcare Limited,india,NSE
AMBALALSA,Ambalal Sarabhai Enterprises Limited,india,NSE
AMBER,Amber Enterprises India Limited,india,NSE
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,india,NSE
AMBIKCO,Ambika Cotton Mills Limited,india,NSE
AMBUJACEM,Ambuja Cements Limited,india,NSE
AMDIND,AMD Industries Limited,india,NSE
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,india,NSE
AMJLAND,Amj Land Holdings Limited,india,NSE
AMNPLST,Amines & Plasticizers Limited,india,NSE
AMRUTANJAN,Amrutanjan Health Care Limited,india,NSE
ANANDRATHI,Anand Rathi Wealth Limited,india,NSE
ANANTRAJ,Anant Raj Limited,india,NSE
ANDHRAPAP,ANDHRA PAPER LIMITED,india,NSE
ANDHRSUGAR,The Andhra Sugars Limited,india,NSE
ANGELONE,Angel One Limited,india,NSE
ANIKINDS,Anik Industries Limited,india,NSE
ANKITMETAL,Ankit Metal & Power Limited,india,NSE
ANMOL,Anmol India Limited,india,NSE
ANSALAPI,Ansal Properties & Infrastructure Limited,india,NSE
ANTELOPUS,Antelopus Selan Energy Limited,india,NSE
ANTGRAPHIC,Antarctica Limited,india,NSE
ANTHEM,Anthem Biosciences Limited,india,NSE
ANUHPHR,Anuh Pharma Limited,india,NSE
ANUP,The Anup Engineering Limited,india,NSE
ANURAS,Anupam Rasayan India Limited,india,NSE
APARINDS,Apar Industries Limited,india,NSE
APCL,Anjani Portland Cement Limited,india,NSE
APCOTEXIND,Apcotex Industries Limited,india,NSE
