symbol,company_name,baseline_date
ITC,ITC Limited,2021-01-29
HDFCBANK,HDFC Bank Limited,2021-01-29
RELIANCE,Reliance Industries Limited,2021-01-29
INFY,Infosys Limited,2021-01-29
HDFC,Housing Development Finance Corporation Limited,2021-01-29
ICICIBANK,ICICI Bank Limited,2021-01-29
TCS,Tata Consultancy Services Limited,2021-01-29
KOTAKBANK,Kotak Mahindra Bank Limited,2021-01-29
HINDUNILVR,Hindustan Unilever Limited,2021-01-29
AXISBANK,Axis Bank Limited,2021-01-29
LT,Larsen & Toubro Limited,2021-01-29
BHARTIARTL,Bharti Airtel Limited,2021-01-29
BAJFINANCE,Bajaj Finance Limited,2021-01-29
ASIANPAINT,Asian Paints Limited,2021-01-29
SBIN,State Bank of India,2021-01-29
HCLTECH,HCL Technologies Limited,2021-01-29
MARUTI,Maruti Suzuki India Limited,2021-01-29
M&M,Mahindra & Mahindra Limited,2021-01-29
SUNPHARMA,Sun Pharmaceutical Industries Limited,2021-01-29
WIPRO,Wipro Limited,2021-01-29
ULTRACEMCO,UltraTech Cement Limited,2021-01-29
NESTLEIND,Nestle India Limited,2021-01-29
TECHM,Tech Mahindra Limited,2021-01-29
ONGC,Oil & Natural Gas Corporation Limited,2021-01-29
TITAN,Titan Company Limited,2021-01-29
DRREDDY,Dr. Reddy's Laboratories Limited,2021-01-29
HDFCLIFE,HDFC Life Insurance Company Limited,2021-01-29
BAJAJFINSV,Bajaj Finserv Limited,2021-01-29
BAJAJ-AUTO,Bajaj Auto Limited,2021-01-29
INDUSINDBK,IndusInd Bank Limited,2021-01-29
POWERGRID,Power Grid Corporation of India Limited,2021-01-29
TATAMOTORS,Tata Motors Limited,2021-01-29
TATASTEEL,Tata Steel Limited,2021-01-29
NTPC,NTPC Limited,2021-01-29
DIVISLAB,Divi's Laboratories Limited,2021-01-29
HEROMOTOCO,Hero MotoCorp Limited,2021-01-29
CIPLA,Cipla Limited,2021-01-29
BRITANNIA,Britannia Industries Limited,2021-01-29
GRASIM,Grasim Industries Limited,2021-01-29
EICHERMOT,Eicher Motors Limited,2021-01-29
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2021-01-29
JSWSTEEL,JSW Steel Limited,2021-01-29
HINDALCO,Hindalco Industries Limited,2021-01-29
UPL,UPL Limited,2021-01-29
BPCL,Bharat Petroleum Corporation Limited,2021-01-29
SHREECEM,Shree Cement Limited,2021-01-29
COALINDIA,Coal India Limited,2021-01-29
IOC,Indian Oil Corporation Limited,2021-01-29
GAIL,GAIL (India) Limited,2021-01-29
SBILIFE,SBI Life Insurance Company Limited,2021-01-29
