effective_date,symbol,company_name,action,event_type,source_date,source_reference,notes
2021-03-31,GAIL,GAIL (India) Limited,EXCLUSION,SCHEDULED_REBALANCE,2021-02-23,NSE Indices,Regular semi-annual review
2021-03-31,TATACONSUM,Tata Consumer Products Limited,INCLUSION,SCHEDULED_REBALANCE,2021-02-23,NSE Indices,Regular semi-annual review
2022-03-31,IOC,Indian Oil Corporation Limited,EXCLUSION,SCHEDULED_REBALANCE,2022-02-24,NSE Indices,Regular semi-annual review
2022-03-31,APOLLOHOSP,Apollo Hospitals Enterprise Limited,INCLUSION,SCHEDULED_REBALANCE,2022-02-24,NSE Indices,Regular semi-annual review
2022-09-30,SHREECEM,Shree Cement Limited,EXCLUSION,SCHEDULED_REBALANCE,2022-09-01,NSE Indices,Regular semi-annual review
2022-09-30,ADANIENT,Adani Enterprises Limited,INCLUSION,SCHEDULED_REBALANCE,2022-09-01,NSE Indices,Regular semi-annual review
2023-07-13,HDFC,Housing Development Finance Corporation Limited,EXCLUSION,CORPORATE_ACTION,2023-07-04,NSE Indices,HDFC Ltd amalgamation with HDFC Bank
2023-07-13,LTIM,LTIMindtree Limited,INCLUSION,CORPORATE_ACTION,2023-07-04,NSE Indices,Replacement following HDFC Ltd amalgamation
2023-07-20,JIOFIN,Jio Financial Services Limited,INCLUSION,CORPORATE_ACTION,2023-07-17,NSE Indices,Reliance demerger temporary inclusion
2023-09-07,JIOFIN,Jio Financial Services Limited,EXCLUSION,CORPORATE_ACTION,2023-09-05,NSE Indices,Temporary inclusion reversal
2024-03-28,UPL,UPL Limited,EXCLUSION,SCHEDULED_REBALANCE,2024-02-28,NSE Indices,Regular semi-annual review
2024-03-28,SHRIRAMFIN,Shriram Finance Limited,INCLUSION,SCHEDULED_REBALANCE,2024-02-28,NSE Indices,Regular semi-annual review
2024-09-30,DIVISLAB,Divi's Laboratories Limited,EXCLUSION,SCHEDULED_REBALANCE,2024-08-23,NSE Indices,Regular semi-annual review
2024-09-30,LTIM,LTIMindtree Limited,EXCLUSION,SCHEDULED_REBALANCE,2024-08-23,NSE Indices,Regular semi-annual review
2024-09-30,BEL,Bharat Electronics Limited,INCLUSION,SCHEDULED_REBALANCE,2024-08-23,NSE Indices,Regular semi-annual review
2024-09-30,TRENT,Trent Limited,INCLUSION,SCHEDULED_REBALANCE,2024-08-23,NSE Indices,Regular semi-annual review
2025-03-28,BPCL,Bharat Petroleum Corporation Limited,EXCLUSION,SCHEDULED_REBALANCE,2025-02-21,NSE Indices,Regular semi-annual review
2025-03-28,BRITANNIA,Britannia Industries Limited,EXCLUSION,SCHEDULED_REBALANCE,2025-02-21,NSE Indices,Regular semi-annual review
2025-03-28,JIOFIN,Jio Financial Services Limited,INCLUSION,SCHEDULED_REBALANCE,2025-02-21,NSE Indices,Regular semi-annual review
2025-03-28,ZOMATO,Eternal Limited,INCLUSION,SCHEDULED_REBALANCE,2025-02-21,NSE Indices,Zomato Limited renamed Eternal Limited
2025-09-30,HEROMOTOCO,Hero MotoCorp Limited,EXCLUSION,SCHEDULED_REBALANCE,2025-08-22,NSE Indices,Regular semi-annual review
2025-09-30,INDUSINDBK,IndusInd Bank Limited,EXCLUSION,SCHEDULED_REBALANCE,2025-08-22,NSE Indices,Regular semi-annual review
2025-09-30,INDIGO,InterGlobe Aviation Limited,INCLUSION,SCHEDULED_REBALANCE,2025-08-22,NSE Indices,Regular semi-annual review
2025-09-30,MAXHEALTH,Max Healthcare Institute Limited,INCLUSION,SCHEDULED_REBALANCE,2025-08-22,NSE Indices,Regular semi-annual review
2025-10-14,DUMMYTATAM,Tata Motors Commercial Vehicles Limited,INCLUSION,CORPORATE_ACTION,2025-10-07,NSE Indices Corporate Action,Tata Motors demerger; DUMMYTATAM temporarily included in NIFTY 50 at zero price
2025-10-24,TATAMOTORS,Tata Motors Limited,EXCLUSION,CORPORATE_ACTION,2025-10-01,NSE Corporate Action,Tata Motors passenger vehicles transition; trading symbol changed from TATAMOTORS to TMPV
2025-10-24,TMPV,Tata Motors Passenger Vehicles Limited,INCLUSION,CORPORATE_ACTION,2025-10-01,NSE Corporate Action,Tata Motors passenger vehicles entity becomes TMPV in NIFTY 50
2025-11-17,DUMMYTATAM,Tata Motors Commercial Vehicles Limited,EXCLUSION,CORPORATE_ACTION,2025-11-13,NSE Indices Corporate Action,TMCV listed; temporary DUMMYTATAM inclusion removed from NIFTY 50
