symbol,membership_start,membership_end,expected_trading_days,price_days,covered_expected_days,missing_expected_days,first_price_date,last_price_date,status
ADANIENT,2022-09-30,2026-09-10,974,1392,974,0,2021-01-29,2026-09-10,PASS
ADANIPORTS,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
APOLLOHOSP,2022-03-31,2026-09-10,1099,1392,1099,0,2021-01-29,2026-09-10,PASS
ASIANPAINT,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
AXISBANK,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
BAJAJ-AUTO,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
BAJAJFINSV,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
BAJFINANCE,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
BEL,2024-09-30,2026-09-10,483,1392,483,0,2021-01-29,2026-09-10,PASS
BHARTIARTL,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
BPCL,2021-01-29,2025-03-27,1029,1392,1029,0,2021-01-29,2026-09-10,PASS
BRITANNIA,2021-01-29,2025-03-27,1029,1392,1029,0,2021-01-29,2026-09-10,PASS
CIPLA,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
COALINDIA,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
DIVISLAB,2021-01-29,2024-09-29,905,1391,905,0,2021-01-29,2026-09-10,PASS
DRREDDY,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
DUMMYTATAM,2025-10-14,2025-11-16,0,0,0,0,,,PASS
EICHERMOT,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
GAIL,2021-01-29,2021-03-30,41,1392,41,0,2021-01-29,2026-09-10,PASS
GRASIM,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
HCLTECH,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
HDFC,2021-01-29,2023-07-12,607,607,607,0,2021-01-29,2023-07-12,PASS
HDFCBANK,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
HDFCLIFE,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
HEROMOTOCO,2021-01-29,2025-09-29,1154,1392,1154,0,2021-01-29,2026-09-10,PASS
HINDALCO,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
HINDUNILVR,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
ICICIBANK,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
INDIGO,2025-09-30,2026-09-10,234,1391,234,0,2021-01-29,2026-09-10,PASS
INDUSINDBK,2021-01-29,2025-09-29,1154,1392,1154,0,2021-01-29,2026-09-10,PASS
INFY,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
IOC,2021-01-29,2022-03-30,289,1392,289,0,2021-01-29,2026-09-10,PASS
ITC,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
JIOFIN,2023-07-20,2026-09-10,372,759,372,0,2023-08-21,2026-09-10,PASS
JSWSTEEL,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
KOTAKBANK,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
LT,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
LTIM,2023-07-13,2024-09-29,298,302,298,0,2023-07-13,2024-09-27,PASS
M&M,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
MARUTI,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
MAXHEALTH,2025-09-30,2026-09-10,234,1392,234,0,2021-01-29,2026-09-10,PASS
NESTLEIND,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
NTPC,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
ONGC,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
POWERGRID,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
RELIANCE,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
SBILIFE,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
SBIN,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
SHREECEM,2021-01-29,2022-09-29,414,1392,414,0,2021-01-29,2026-09-10,PASS
SHRIRAMFIN,2024-03-28,2026-09-10,607,1392,607,0,2021-01-29,2026-09-10,PASS
SUNPHARMA,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
TATACONSUM,2021-03-31,2026-09-10,1347,1392,1347,0,2021-01-29,2026-09-10,PASS
TATAMOTORS,2021-01-29,2025-10-23,1170,1174,1170,0,2021-01-29,2025-10-23,PASS
TATASTEEL,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
TCS,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
TECHM,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
TITAN,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
TMPV,2025-10-24,2026-09-10,218,1392,218,0,2021-01-29,2026-09-10,PASS
TRENT,2024-09-30,2026-09-10,483,1392,483,0,2021-01-29,2026-09-10,PASS
ULTRACEMCO,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
UPL,2021-01-29,2024-03-27,781,1392,781,0,2021-01-29,2026-09-10,PASS
WIPRO,2021-01-29,2026-09-10,1388,1392,1388,0,2021-01-29,2026-09-10,PASS
ZOMATO,2025-03-28,2026-09-10,359,1274,359,0,2021-07-23,2026-09-10,PASS
