normalized_symbol,source,source_symbol,membership_start,membership_end,price_start,price_end,rows,duplicate_dates,invalid_dates,missing_ohlc,non_positive_ohlc,invalid_high,invalid_low,missing_volume,negative_volume,membership_price_rows,membership_missing_days,first_membership_price,last_membership_price,status,failure_reasons
ADANIENT,YAHOO,ADANIENT,2022-09-30,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,974,0,2022-09-30,2026-09-10,PASS,
ADANIPORTS,YAHOO,ADANIPORTS,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
APOLLOHOSP,YAHOO,APOLLOHOSP,2022-03-31,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1099,0,2022-03-31,2026-09-10,PASS,
ASIANPAINT,YAHOO,ASIANPAINT,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
AXISBANK,YAHOO,AXISBANK,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
BAJAJ-AUTO,YAHOO,BAJAJ-AUTO,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
BAJAJFINSV,YAHOO,BAJAJFINSV,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
BAJFINANCE,YAHOO,BAJFINANCE,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
BEL,YAHOO,BEL,2024-09-30,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,483,0,2024-09-30,2026-09-10,PASS,
BHARTIARTL,YAHOO,BHARTIARTL,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
BPCL,YAHOO,BPCL,2021-01-29,2025-03-27,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1029,0,2021-01-29,2025-03-27,PASS,
BRITANNIA,YAHOO,BRITANNIA,2021-01-29,2025-03-27,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1029,0,2021-01-29,2025-03-27,PASS,
CIPLA,YAHOO,CIPLA,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
COALINDIA,YAHOO,COALINDIA,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
DIVISLAB,YAHOO,DIVISLAB,2021-01-29,2024-09-29,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,905,0,2021-01-29,2024-09-27,PASS,
DRREDDY,YAHOO,DRREDDY,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
DUMMYTATAM,SPECIAL_INDEX_ENTITY,DUMMYTATAM,2025-10-14,2025-11-16,,,0,0,0,0,0,0,0,0,0,0,0,,,PASS,
EICHERMOT,YAHOO,EICHERMOT,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
GAIL,YAHOO,GAIL,2021-01-29,2021-03-30,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,41,0,2021-01-29,2021-03-30,PASS,
GRASIM,YAHOO,GRASIM,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
HCLTECH,YAHOO,HCLTECH,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
HDFC,NSE,HDFC,2021-01-29,2023-07-12,2021-01-29,2023-07-12,607,0,0,0,0,0,0,0,0,607,0,2021-01-29,2023-07-12,PASS,
HDFCBANK,YAHOO,HDFCBANK,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
HDFCLIFE,YAHOO,HDFCLIFE,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
HEROMOTOCO,YAHOO,HEROMOTOCO,2021-01-29,2025-09-29,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1154,0,2021-01-29,2025-09-29,PASS,
HINDALCO,YAHOO,HINDALCO,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
HINDUNILVR,YAHOO,HINDUNILVR,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
ICICIBANK,YAHOO,ICICIBANK,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
INDIGO,YAHOO,INDIGO,2025-09-30,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,234,0,2025-09-30,2026-09-10,PASS,
INDUSINDBK,YAHOO,INDUSINDBK,2021-01-29,2025-09-29,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1154,0,2021-01-29,2025-09-29,PASS,
INFY,YAHOO,INFY,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
IOC,YAHOO,IOC,2021-01-29,2022-03-30,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,289,0,2021-01-29,2022-03-30,PASS,
ITC,YAHOO,ITC,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
JIOFIN,YAHOO,JIOFIN,2023-07-20,2026-09-10,2023-08-21,2026-09-10,755,0,0,0,0,0,0,0,0,755,0,2023-08-21,2026-09-10,PASS,
JSWSTEEL,YAHOO,JSWSTEEL,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
KOTAKBANK,YAHOO,KOTAKBANK,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
LT,YAHOO,LT,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
LTIM,NSE,LTIM,2023-07-13,2024-09-29,2023-07-13,2024-09-27,302,0,0,0,0,0,0,0,0,302,0,2023-07-13,2024-09-27,PASS,
M&M,YAHOO,M&M,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
MARUTI,YAHOO,MARUTI,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
MAXHEALTH,YAHOO,MAXHEALTH,2025-09-30,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,234,0,2025-09-30,2026-09-10,PASS,
NESTLEIND,YAHOO,NESTLEIND,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
NTPC,YAHOO,NTPC,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
ONGC,YAHOO,ONGC,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
POWERGRID,YAHOO,POWERGRID,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
RELIANCE,YAHOO,RELIANCE,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
SBILIFE,YAHOO,SBILIFE,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
SBIN,YAHOO,SBIN,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
SHREECEM,YAHOO,SHREECEM,2021-01-29,2022-09-29,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,414,0,2021-01-29,2022-09-29,PASS,
SHRIRAMFIN,YAHOO,SHRIRAMFIN,2024-03-28,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,607,0,2024-03-28,2026-09-10,PASS,
SUNPHARMA,YAHOO,SUNPHARMA,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
TATACONSUM,YAHOO,TATACONSUM,2021-03-31,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1347,0,2021-03-31,2026-09-10,PASS,
TATAMOTORS,NSE,TATAMOTORS,2021-01-29,2025-10-23,2021-01-29,2025-10-23,1174,0,0,0,0,0,0,0,0,1174,0,2021-01-29,2025-10-23,PASS,
TATASTEEL,YAHOO,TATASTEEL,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
TCS,YAHOO,TCS,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
TECHM,YAHOO,TECHM,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
TITAN,YAHOO,TITAN,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
TMPV,YAHOO,TMPV,2025-10-24,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,218,0,2025-10-24,2026-09-10,PASS,
TRENT,YAHOO,TRENT,2024-09-30,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,483,0,2024-09-30,2026-09-10,PASS,
ULTRACEMCO,YAHOO,ULTRACEMCO,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
UPL,YAHOO,UPL,2021-01-29,2024-03-27,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,781,0,2021-01-29,2024-03-27,PASS,
WIPRO,YAHOO,WIPRO,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1388,0,0,0,0,0,0,0,0,1388,0,2021-01-29,2026-09-10,PASS,
ZOMATO,YAHOO,ETERNAL.NS,2025-03-28,2026-09-10,2021-07-23,2026-09-10,1270,0,0,0,0,0,0,0,0,359,0,2025-03-28,2026-09-10,PASS,
