normalized_symbol,source,source_symbol,membership_start,membership_end,required_start,required_end,actual_start,actual_end,rows,ohlcv_complete,corporate_action_issue,source_verified,status,notes
ADANIENT,YAHOO,ADANIENT,2022-09-30,2026-09-10,2022-09-30,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
ADANIPORTS,YAHOO,ADANIPORTS,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1391,True,NO,YES,PASS,Yahoo primary source.
APOLLOHOSP,YAHOO,APOLLOHOSP,2022-03-31,2026-09-10,2022-03-31,2026-09-10,2021-01-29,2026-09-10,1391,True,NO,YES,PASS,Yahoo primary source.
ASIANPAINT,YAHOO,ASIANPAINT,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
AXISBANK,YAHOO,AXISBANK,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1391,True,NO,YES,PASS,Yahoo primary source.
BAJAJ-AUTO,YAHOO,BAJAJ-AUTO,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
BAJAJFINSV,YAHOO,BAJAJFINSV,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
BAJFINANCE,YAHOO,BAJFINANCE,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
BEL,YAHOO,BEL,2024-09-30,2026-09-10,2024-09-30,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
BHARTIARTL,YAHOO,BHARTIARTL,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
BPCL,YAHOO,BPCL,2021-01-29,2025-03-27,2021-01-29,2025-03-27,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
BRITANNIA,YAHOO,BRITANNIA,2021-01-29,2025-03-27,2021-01-29,2025-03-27,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
CIPLA,YAHOO,CIPLA,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1391,True,NO,YES,PASS,Yahoo primary source.
COALINDIA,YAHOO,COALINDIA,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
DIVISLAB,YAHOO,DIVISLAB,2021-01-29,2024-09-29,2021-01-29,2024-09-29,2021-01-29,2026-09-10,1391,True,NO,YES,PASS,Yahoo primary source.
DRREDDY,YAHOO,DRREDDY,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
DUMMYTATAM,SPECIAL_INDEX_ENTITY,,2025-10-14,2025-11-16,2025-10-14,2025-11-16,,,0,False,NO,SPECIAL,SPECIAL_NO_PRICE_REQUIRED,Temporary NIFTY 50 index-adjustment entity during the Tata Motors demerger; no ordinary OHLCV series required.
EICHERMOT,YAHOO,EICHERMOT,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1391,True,NO,YES,PASS,Yahoo primary source.
GAIL,YAHOO,GAIL,2021-01-29,2021-03-30,2021-01-29,2021-03-30,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
GRASIM,YAHOO,GRASIM,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1391,True,NO,YES,PASS,Yahoo primary source.
HCLTECH,YAHOO,HCLTECH,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
HDFC,NSE,HDFC,2021-01-29,2023-07-12,2021-01-29,2023-07-12,2021-01-29,2023-07-12,607,True,YES,PENDING,PASS,Historical HDFC Ltd security; merged into HDFC Bank.
HDFCBANK,YAHOO,HDFCBANK,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
HDFCLIFE,YAHOO,HDFCLIFE,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
HEROMOTOCO,YAHOO,HEROMOTOCO,2021-01-29,2025-09-29,2021-01-29,2025-09-29,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
HINDALCO,YAHOO,HINDALCO,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1391,True,NO,YES,PASS,Yahoo primary source.
HINDUNILVR,YAHOO,HINDUNILVR,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1391,True,NO,YES,PASS,Yahoo primary source.
ICICIBANK,YAHOO,ICICIBANK,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
INDIGO,YAHOO,INDIGO,2025-09-30,2026-09-10,2025-09-30,2026-09-10,2021-01-29,2026-09-10,1390,True,NO,YES,PASS,Yahoo primary source.
INDUSINDBK,YAHOO,INDUSINDBK,2021-01-29,2025-09-29,2021-01-29,2025-09-29,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
INFY,YAHOO,INFY,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
IOC,YAHOO,IOC,2021-01-29,2022-03-30,2021-01-29,2022-03-30,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
ITC,YAHOO,ITC,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
JIOFIN,YAHOO,JIOFIN,2023-07-20,2026-09-10,2023-07-20,2026-09-10,2023-08-21,2026-09-10,758,True,NO,YES,INSUFFICIENT_DATE_COVERAGE,Yahoo primary source.
JSWSTEEL,YAHOO,JSWSTEEL,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
KOTAKBANK,YAHOO,KOTAKBANK,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
LT,YAHOO,LT,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
LTIM,NSE,LTIM,2023-07-13,2024-09-29,2023-07-13,2024-09-27,2023-07-13,2024-09-27,302,True,YES,PENDING,PASS,Historical LTIMindtree NIFTY constituent.
M&M,YAHOO,M&M,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
MARUTI,YAHOO,MARUTI,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
MAXHEALTH,YAHOO,MAXHEALTH,2025-09-30,2026-09-10,2025-09-30,2026-09-10,2021-01-29,2026-09-10,1391,True,NO,YES,PASS,Yahoo primary source.
NESTLEIND,YAHOO,NESTLEIND,2021-01-29,2026-09-10,2021-01-29,2026-09-10,2021-01-29,2026-09-10,1392,True,NO,YES,PASS,Yahoo primary source.
