date,open,high,low,close,adj_close,volume,dividends,stock_splits
2021-01-29,2450.0,2460.0,2364.6,2377.8,,7347695.0,,
2021-02-01,2402.7,2602.1,2391.85,2579.25,,7106502.0,,
2021-02-02,2625.0,2762.95,2612.0,2659.0,,9253486.0,,
2021-02-03,2695.0,2734.5,2618.0,2703.55,,4782433.0,,
2021-02-04,2740.4,2742.0,2659.0,2707.75,,4108174.0,,
2021-02-05,2724.5,2767.8,2696.2,2721.5,,4575345.0,,
2021-02-08,2765.0,2765.0,2711.1,2733.35,,3807824.0,,
2021-02-09,2760.0,2784.0,2710.45,2747.05,,5586584.0,,
2021-02-10,2745.95,2780.0,2739.2,2767.1,,5602915.0,,
2021-02-11,2744.1,2767.6,2737.45,2760.6,,1935639.0,,
2021-02-12,2746.0,2809.0,2735.6,2791.5,,2921180.0,,
2021-02-15,2819.0,2868.0,2805.0,2860.45,,2847445.0,,
2021-02-16,2871.0,2896.0,2838.0,2858.65,,2295100.0,,
2021-02-17,2850.25,2856.6,2787.85,2805.35,,2874649.0,,
2021-02-18,2800.0,2806.0,2730.1,2745.15,,2937262.0,,
2021-02-19,2725.0,2765.0,2714.15,2741.3,,2275146.0,,
2021-02-22,2741.3,2741.3,2638.15,2651.95,,4090709.0,,
2021-02-23,2670.35,2677.9,2621.0,2628.6,,3022925.0,,
2021-02-24,2610.1,2723.0,2610.1,2707.75,,2950645.0,,
2021-02-25,2718.5,2739.0,2677.0,2684.7,,4758112.0,,
2021-02-26,2631.05,2631.05,2520.0,2539.4,,8771431.0,,
2021-03-01,2556.0,2614.6,2548.6,2606.0,,3595993.0,,
2021-03-02,2615.0,2615.0,2541.4,2564.0,,4086134.0,,
2021-03-03,2608.9,2664.15,2592.15,2654.9,,5640063.0,,
2021-03-04,2610.0,2610.0,2568.0,2582.95,,5315682.0,,
2021-03-05,2573.6,2579.9,2523.5,2543.9,,4254126.0,,
2021-03-08,2555.05,2560.0,2505.4,2510.25,,2179821.0,,
2021-03-09,2513.1,2584.4,2513.1,2577.3,,2877662.0,,
2021-03-10,2590.4,2609.4,2580.6,2599.8,,2569360.0,,
2021-03-12,2662.0,2667.95,2556.35,2568.0,,3487185.0,,
2021-03-15,2565.0,2568.0,2496.05,2535.5,,2905477.0,,
2021-03-16,2556.5,2562.65,2503.0,2510.4,,2446483.0,,
2021-03-17,2509.1,2542.0,2502.75,2515.55,,3362442.0,,
2021-03-18,2549.0,2561.45,2501.0,2514.6,,3460891.0,,
2021-03-19,2486.0,2567.0,2481.7,2531.65,,5277763.0,,
2021-03-22,2530.1,2547.35,2485.0,2531.85,,3367784.0,,
2021-03-23,2531.0,2541.35,2492.1,2509.9,,3980896.0,,
2021-03-24,2484.85,2503.5,2446.7,2465.75,,3165420.0,,
2021-03-25,2488.0,2491.6,2431.1,2470.75,,4759214.0,,
2021-03-26,2506.75,2548.0,2491.2,2532.75,,3272534.0,,
2021-03-30,2569.3,2617.0,2555.25,2605.65,,4349089.0,,
2021-03-31,2599.6,2599.6,2490.0,2498.1,,5492619.0,,
2021-04-01,2524.0,2536.95,2480.0,2531.45,,2621437.0,,
2021-04-05,2530.0,2531.0,2413.0,2445.85,,3353567.0,,
2021-04-06,2470.3,2486.85,2435.35,2472.3,,2882606.0,,
2021-04-07,2489.0,2507.8,2457.0,2482.7,,3511527.0,,
2021-04-08,2495.0,2530.9,2485.75,2502.55,,2510746.0,,
2021-04-09,2522.0,2556.0,2492.3,2513.9,,3234017.0,,
2021-04-12,2450.0,2454.45,2405.0,2419.85,,3772771.0,,
2021-04-13,2422.4,2523.1,2412.25,2512.95,,3832030.0,,
2021-04-15,2540.0,2555.0,2493.0,2547.15,,4201633.0,,
2021-04-16,2550.0,2589.8,2546.85,2574.05,,3133311.0,,
2021-04-19,2474.0,2510.0,2452.0,2492.35,,3550890.0,,
2021-04-20,2542.15,2544.0,2406.2,2415.9,,7365765.0,,
2021-04-22,2400.0,2485.0,2373.0,2479.7,,4514740.0,,
2021-04-23,2455.05,2504.15,2437.5,2497.35,,3143779.0,,
2021-04-26,2500.0,2534.1,2483.2,2509.8,,3916088.0,,
2021-04-27,2494.15,2526.8,2486.25,2518.4,,2040799.0,,
2021-04-28,2516.1,2609.0,2508.3,2577.0,,3407461.0,,
2021-04-29,2590.9,2628.0,2533.0,2538.85,,3005468.0,,
2021-04-30,2503.1,2525.0,2411.1,2420.1,,6024595.0,,
2021-05-03,2365.0,2432.95,2365.0,2418.5,,2984938.0,,
2021-05-04,2420.0,2435.0,2373.6,2377.2,,3135834.0,,
2021-05-05,2392.0,2403.0,2354.0,2377.6,,3458463.0,,
2021-05-06,2397.3,2435.0,2382.0,2430.1,,2401866.0,,
2021-05-07,2454.7,2507.3,2438.4,2496.75,,4829852.0,,
2021-05-10,2515.1,2563.7,2515.1,2531.35,,4289915.0,,
2021-05-11,2489.35,2502.0,2447.6,2464.2,,3728419.0,,
2021-05-12,2448.0,2448.0,2407.5,2438.7,,3168128.0,,
2021-05-14,2438.7,2443.95,2402.1,2422.0,,2254726.0,,
2021-05-17,2454.0,2495.0,2435.5,2486.45,,4452603.0,,
2021-05-18,2508.0,2527.0,2486.95,2502.85,,2844233.0,,
2021-05-19,2498.0,2517.0,2453.75,2459.85,,2031903.0,,
2021-05-20,2467.0,2488.0,2440.1,2445.0,,2551577.0,,
2021-05-21,2472.0,2525.95,2457.15,2518.05,,2711607.0,,
2021-05-24,2515.0,2558.8,2515.0,2540.9,,2655396.0,,
2021-05-25,2562.0,2570.4,2523.5,2530.5,,2641950.0,,
2021-05-26,2547.0,2575.0,2530.5,2567.55,,1839397.0,,
2021-05-27,2580.35,2580.35,2488.05,2508.85,,14119786.0,,
2021-05-28,2514.65,2549.85,2511.0,2541.35,,2548032.0,,
2021-05-31,2527.55,2564.8,2502.0,2552.85,,3221015.0,,
2021-06-01,2567.0,2610.0,2560.5,2580.75,,3900226.0,,
2021-06-02,2570.75,2581.85,2531.1,2562.15,,3551619.0,,
2021-06-03,2568.0,2603.0,2556.45,2584.0,,3636647.0,,
2021-06-04,2588.0,2626.0,2584.05,2619.05,,3593742.0,,
2021-06-07,2635.0,2635.4,2582.0,2585.75,,2222082.0,,
2021-06-08,2586.0,2589.9,2550.0,2554.5,,3046814.0,,
2021-06-09,2558.0,2579.25,2539.75,2544.75,,2784864.0,,
2021-06-10,2554.75,2567.85,2535.0,2561.9,,2116122.0,,
2021-06-11,2575.0,2594.3,2555.0,2559.8,,2340867.0,,
2021-06-14,2559.8,2559.8,2512.65,2539.2,,2125197.0,,
2021-06-15,2559.8,2559.8,2535.2,2545.1,,1589974.0,,
2021-06-16,2535.0,2545.0,2515.7,2521.45,,2290999.0,,
2021-06-17,2482.2,2506.95,2482.2,2487.3,,2657850.0,,
2021-06-18,2511.0,2511.0,2453.05,2488.1,,3082747.0,,
2021-06-21,2459.0,2524.2,2451.0,2516.4,,1891651.0,,
2021-06-22,2546.8,2546.8,2514.7,2522.9,,2604542.0,,
2021-06-23,2537.0,2537.0,2493.0,2497.2,,2179551.0,,
2021-06-24,2514.9,2515.0,2485.0,2487.4,,3257706.0,,
2021-06-25,2511.0,2515.0,2482.0,2509.2,,1871813.0,,
2021-06-28,2515.0,2523.1,2491.2,2494.95,,2140346.0,,
2021-06-29,2510.0,2510.0,2476.9,2501.2,,2671608.0,,
2021-06-30,2503.15,2515.0,2472.2,2475.25,,2798047.0,,
2021-07-01,2480.0,2491.35,2456.0,2459.4,,2189447.0,,
2021-07-02,2463.0,2480.0,2445.0,2475.7,,1951251.0,,
2021-07-05,2489.3,2496.8,2471.2,2494.9,,1234739.0,,
2021-07-06,2492.6,2518.9,2490.2,2496.4,,1428812.0,,
2021-07-07,2503.85,2545.8,2495.2,2529.2,,2542003.0,,
2021-07-08,2535.0,2543.85,2508.0,2512.05,,2683729.0,,
2021-07-09,2504.1,2509.0,2484.85,2496.45,,1348273.0,,
2021-07-12,2503.0,2511.0,2452.2,2476.95,,6818026.0,,
2021-07-13,2496.0,2549.95,2487.75,2544.9,,3716936.0,,
2021-07-14,2544.0,2544.9,2516.0,2531.1,,2725020.0,,
2021-07-15,2539.0,2555.0,2516.0,2540.1,,3272479.0,,
2021-07-16,2548.0,2558.0,2531.5,2536.9,,1568532.0,,
2021-07-19,2488.0,2497.7,2470.9,2481.65,,2262325.0,,
2021-07-20,2470.0,2480.5,2450.0,2458.75,,1731830.0,,
2021-07-22,2470.1,2493.05,2465.5,2490.3,,1792789.0,,
2021-07-23,2497.8,2501.6,2470.0,2482.5,,1275979.0,,
2021-07-26,2485.0,2485.0,2460.0,2464.3,,1462225.0,,
2021-07-27,2470.9,2474.0,2430.0,2433.95,,2680260.0,,
2021-07-28,2417.1,2432.45,2380.0,2425.8,,3988878.0,,
2021-07-29,2424.0,2433.65,2405.1,2414.8,,3288676.0,,
2021-07-30,2417.95,2464.7,2414.8,2441.15,,4128459.0,,
2021-08-02,2466.0,2487.0,2425.1,2462.05,,5009133.0,,
2021-08-03,2515.0,2560.0,2476.0,2554.65,,5962929.0,,
2021-08-04,2573.3,2681.0,2565.0,2676.05,,9604932.0,,
2021-08-05,2680.0,2685.0,2644.3,2661.7,,4021021.0,,
2021-08-06,2657.0,2673.0,2621.4,2628.1,,2139764.0,,
2021-08-09,2632.05,2646.25,2599.9,2623.9,,1751767.0,,
2021-08-10,2634.7,2678.7,2626.85,2671.65,,4690741.0,,
2021-08-11,2675.0,2689.5,2633.75,2658.5,,1769627.0,,
2021-08-12,2656.6,2675.25,2646.6,2668.75,,1702479.0,,
2021-08-13,2662.0,2715.0,2662.0,2704.15,,3248615.0,,
2021-08-16,2696.8,2734.45,2693.8,2731.15,,2465887.0,,
2021-08-17,2729.95,2750.0,2707.15,2738.4,,2795510.0,,
2021-08-18,2750.0,2770.3,2698.0,2710.75,,2501410.0,,
2021-08-20,2700.0,2738.95,2698.0,2722.05,,3986473.0,,
2021-08-23,2745.5,2758.5,2710.0,2721.95,,1901700.0,,
2021-08-24,2726.0,2729.9,2683.95,2691.25,,2984595.0,,
2021-08-25,2707.8,2718.5,2696.25,2699.25,,1714777.0,,
2021-08-26,2711.25,2720.0,2682.2,2700.35,,1855274.0,,
2021-08-27,2694.1,2724.65,2662.05,2718.2,,2761023.0,,
2021-08-30,2730.45,2764.9,2723.1,2755.7,,1731926.0,,
2021-08-31,2748.0,2812.0,2739.35,2798.5,,4933523.0,,
2021-09-01,2790.0,2796.95,2736.6,2747.75,,3084291.0,,
2021-09-02,2756.9,2785.0,2737.25,2777.7,,1734037.0,,
2021-09-03,2768.1,2784.15,2742.1,2758.6,,1914438.0,,
2021-09-06,2765.0,2777.7,2741.2,2765.3,,1729080.0,,
2021-09-07,2769.8,2853.65,2749.95,2837.0,,4072518.0,,
2021-09-08,2838.25,2852.0,2802.25,2829.3,,2274494.0,,
2021-09-09,2815.2,2853.85,2813.8,2830.1,,1986913.0,,
2021-09-13,2844.0,2875.85,2833.3,2849.8,,3283960.0,,
2021-09-14,2864.95,2869.0,2810.0,2818.05,,2238463.0,,
2021-09-15,2805.7,2843.0,2795.0,2815.45,,1924840.0,,
2021-09-16,2800.0,2823.9,2798.5,2812.35,,1831201.0,,
2021-09-17,2832.25,2851.95,2801.7,2825.65,,4447386.0,,
2021-09-20,2795.3,2808.65,2733.0,2742.5,,2057743.0,,
2021-09-21,2760.0,2780.7,2724.75,2774.35,,2119275.0,,
2021-09-22,2765.0,2773.95,2717.7,2734.7,,3054547.0,,
2021-09-23,2756.1,2828.5,2730.0,2817.4,,3720965.0,,
2021-09-24,2818.6,2850.0,2800.0,2839.0,,2433032.0,,
2021-09-27,2845.75,2869.4,2824.8,2839.8,,2684448.0,,
2021-09-28,2842.0,2850.0,2760.95,2804.95,,2645677.0,,
2021-09-29,2786.5,2792.95,2739.1,2746.45,,3333322.0,,
2021-09-30,2729.9,2785.0,2721.2,2754.3,,4186802.0,,
2021-10-01,2738.6,2752.0,2693.6,2711.65,,2462648.0,,
2021-10-04,2740.15,2770.0,2720.6,2725.2,,2170643.0,,
2021-10-05,2720.0,2754.95,2715.45,2741.45,,2125952.0,,
2021-10-06,2729.0,2795.0,2717.0,2750.95,,3585605.0,,
2021-10-07,2770.7,2774.95,2722.6,2727.0,,2247842.0,,
2021-10-08,2731.0,2745.6,2716.0,2720.65,,1719442.0,,
2021-10-11,2739.0,2769.0,2726.8,2749.25,,1773236.0,,
2021-10-12,2749.7,2767.0,2735.0,2755.1,,1405800.0,,
2021-10-13,2775.0,2775.0,2748.2,2765.6,,1513606.0,,
2021-10-14,2758.3,2815.55,2751.85,2808.75,,2737670.0,,
2021-10-18,2848.0,2848.0,2788.05,2811.5,,2609969.0,,
2021-10-19,2825.0,2827.95,2800.0,2822.9,,1994376.0,,
2021-10-20,2833.0,2839.85,2773.4,2795.1,,2106814.0,,
2021-10-21,2814.0,2857.4,2797.85,2844.1,,3747385.0,,
2021-10-22,2858.8,2938.35,2856.0,2903.95,,4364342.0,,
2021-10-25,2905.0,2919.0,2856.25,2896.15,,3463553.0,,
2021-10-26,2908.0,2934.0,2896.0,2911.65,,2430141.0,,
2021-10-27,2920.05,2948.0,2901.4,2915.0,,3136213.0,,
2021-10-28,2891.0,2924.3,2863.15,2900.8,,3302920.0,,
2021-10-29,2891.0,2893.0,2791.2,2844.7,,3830779.0,,
2021-11-01,2873.0,2947.9,2838.05,2887.95,,4951039.0,,
2021-11-02,2887.9,2917.25,2865.65,2900.05,,4355642.0,,
2021-11-03,2908.0,2932.9,2872.0,2895.9,,3731077.0,,
2021-11-04,2899.05,2909.0,2895.05,2899.7,,129087.0,,
2021-11-08,2929.0,3002.0,2906.15,2979.55,,5481172.0,,
2021-11-09,2955.05,2966.95,2916.1,2941.6,,2947787.0,,
2021-11-10,2920.0,2951.0,2886.05,2945.6,,3294239.0,,
2021-11-11,2932.0,2932.0,2885.15,2908.85,,2480671.0,,
2021-11-12,2925.0,2998.0,2905.45,2992.65,,2802442.0,,
2021-11-15,3004.0,3021.1,2971.0,3000.85,,3248126.0,,
2021-11-16,2986.2,2999.25,2957.7,2975.45,,4242014.0,,
2021-11-17,2956.1,2977.2,2932.25,2948.4,,2398355.0,,
2021-11-18,2936.1,2964.05,2916.75,2925.4,,3481704.0,,
2021-11-22,2902.0,2934.0,2885.15,2894.85,,3951901.0,,
2021-11-23,2855.0,2915.0,2855.0,2906.5,,3340056.0,,
2021-11-24,2905.05,2923.0,2864.5,2883.55,,2318225.0,,
2021-11-25,2890.45,2890.45,2847.0,2867.75,,2221089.0,,
2021-11-26,2820.35,2856.0,2723.0,2741.7,,3353278.0,,
2021-11-29,2745.0,2747.5,2682.3,2713.8,,3571428.0,,
2021-11-30,2665.0,2764.9,2656.0,2673.1,,7628539.0,,
2021-12-01,2712.8,2757.45,2696.2,2703.65,,3847384.0,,
2021-12-02,2701.05,2814.95,2701.05,2807.8,,4570690.0,,
2021-12-03,2790.0,2823.95,2765.0,2771.65,,2961572.0,,
2021-12-06,2774.5,2799.9,2760.0,2768.8,,1683131.0,,
2021-12-07,2795.0,2838.05,2769.45,2817.5,,2543784.0,,
2021-12-08,2825.25,2864.0,2820.05,2853.0,,1772235.0,,
2021-12-09,2872.0,2877.75,2829.05,2842.05,,2036491.0,,
2021-12-10,2823.3,2838.25,2788.5,2808.75,,3455657.0,,
2021-12-13,2832.8,2838.8,2766.05,2771.85,,2661378.0,,
2021-12-14,2750.0,2764.0,2720.6,2751.95,,2039433.0,,
2021-12-15,2755.0,2759.95,2715.0,2721.8,,1355100.0,,
2021-12-16,2749.4,2755.25,2687.8,2699.6,,3149777.0,,
2021-12-17,2700.0,2712.3,2611.0,2617.35,,4503515.0,,
2021-12-20,2594.0,2594.0,2506.05,2550.3,,3483707.0,,
2021-12-21,2583.75,2588.9,2530.0,2540.85,,2502122.0,,
2021-12-22,2551.95,2557.15,2520.15,2539.0,,2763684.0,,
2021-12-23,2558.0,2582.0,2543.35,2571.15,,1777068.0,,
2021-12-24,2585.0,2585.0,2525.5,2534.55,,1033480.0,,
2021-12-27,2520.0,2564.9,2509.45,2558.85,,915233.0,,
2021-12-28,2579.8,2587.85,2548.0,2565.35,,1634180.0,,
2021-12-29,2575.0,2581.0,2551.0,2563.55,,1474656.0,,
2021-12-30,2561.3,2579.8,2545.4,2563.7,,1558019.0,,
2021-12-31,2565.0,2608.65,2561.0,2586.45,,2289067.0,,
2022-01-03,2594.0,2640.0,2587.1,2636.4,,1256497.0,,
2022-01-04,2645.0,2678.7,2620.35,2675.3,,1846249.0,,
2022-01-05,2680.95,2695.45,2652.3,2673.65,,3743882.0,,
2022-01-06,2646.35,2654.75,2603.5,2620.4,,4616700.0,,
2022-01-07,2606.05,2618.3,2585.0,2596.7,,6185361.0,,
2022-01-10,2601.9,2665.05,2601.9,2659.65,,5328083.0,,
2022-01-11,2664.0,2729.0,2664.0,2710.95,,4170007.0,,
2022-01-12,2736.0,2752.0,2713.05,2737.5,,2695634.0,,
2022-01-13,2750.0,2762.0,2726.1,2756.0,,2011413.0,,
2022-01-14,2712.0,2731.6,2687.3,2712.45,,1765906.0,,
2022-01-17,2710.6,2733.1,2692.5,2702.7,,1614989.0,,
2022-01-18,2713.0,2713.55,2656.8,2662.5,,2086266.0,,
2022-01-19,2681.0,2698.85,2608.1,2620.25,,1793748.0,,
2022-01-20,2612.65,2630.0,2543.4,2569.3,,3759429.0,,
2022-01-21,2553.5,2605.35,2542.05,2592.95,,3952946.0,,
2022-01-24,2571.65,2601.8,2510.35,2539.8,,2340062.0,,
2022-01-25,2500.0,2540.7,2473.8,2530.6,,4528568.0,,
2022-01-27,2505.6,2514.0,2448.6,2503.35,,6600059.0,,
2022-01-28,2513.7,2556.8,2488.7,2516.5,,4885166.0,,
2022-01-31,2541.8,2561.4,2513.15,2521.0,,3306726.0,,
2022-02-01,2552.6,2596.0,2510.3,2565.35,,2980741.0,,
2022-02-02,2583.2,2623.3,2580.7,2612.95,,4160178.0,,
2022-02-03,2613.0,2620.0,2520.0,2527.8,,4647089.0,,
2022-02-04,2546.5,2547.0,2497.0,2503.25,,4404184.0,,
2022-02-07,2488.5,2512.1,2420.0,2428.15,,3664108.0,,
2022-02-08,2441.0,2452.0,2405.0,2414.6,,6127473.0,,
2022-02-09,2432.0,2442.5,2402.5,2435.35,,7141774.0,,
2022-02-10,2462.0,2505.7,2441.6,2476.55,,6346218.0,,
2022-02-11,2449.95,2449.95,2417.1,2426.35,,4062444.0,,
2022-02-14,2390.0,2390.0,2290.0,2296.8,,5903697.0,,
2022-02-15,2319.75,2345.0,2286.85,2340.25,,9153706.0,,
2022-02-16,2341.0,2403.85,2341.0,2363.85,,8005225.0,,
2022-02-17,2389.95,2426.0,2361.8,2411.8,,5317679.0,,
2022-02-18,2411.8,2451.0,2402.4,2441.15,,3725963.0,,
2022-02-21,2424.95,2447.65,2410.0,2436.8,,2979739.0,,
2022-02-22,2385.1,2462.25,2373.15,2453.95,,4604370.0,,
2022-02-23,2471.8,2479.45,2428.3,2437.05,,3044306.0,,
2022-02-24,2367.0,2401.0,2331.0,2343.05,,5058230.0,,
2022-02-25,2380.9,2417.1,2370.05,2401.35,,2731176.0,,
2022-02-28,2375.0,2402.8,2333.0,2364.5,,8366630.0,,
2022-03-02,2321.5,2321.5,2259.45,2278.1,,8890970.0,,
2022-03-03,2280.0,2306.55,2262.25,2273.0,,6191711.0,,
2022-03-04,2250.3,2263.0,2203.0,2217.5,,4537882.0,,
2022-03-07,2139.4,2154.9,2098.2,2121.95,,7675627.0,,
2022-03-08,2106.0,2161.95,2046.0,2151.7,,9024183.0,,
2022-03-09,2151.7,2216.0,2120.35,2194.4,,6114047.0,,
2022-03-10,2287.0,2287.0,2206.65,2237.95,,4183914.0,,
2022-03-11,2216.0,2259.85,2189.9,2230.0,,2532517.0,,
2022-03-14,2235.0,2285.6,2218.0,2275.7,,2153393.0,,
2022-03-15,2291.7,2308.05,2230.45,2240.85,,4557236.0,,
2022-03-16,2280.0,2320.0,2272.65,2292.1,,3558601.0,,
2022-03-17,2346.0,2423.8,2346.0,2415.25,,6664277.0,,
2022-03-21,2459.0,2459.0,2383.5,2391.9,,3702411.0,,
2022-03-22,2398.0,2420.0,2355.55,2402.75,,6357856.0,,
