symbol,date,status,old_open,old_high,old_low,old_close,old_volume
ADANIENT,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2153.300048828125,2153.300048828125,2153.300048828125,2153.300048828125,0.0
ADANIENT,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2408.39990234375,2408.39990234375,2408.39990234375,2408.39990234375,0.0
ADANIENT,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2973.10009765625,2973.10009765625,2973.10009765625,2973.10009765625,0.0
ADANIENT,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,3038.0,3038.0,3038.0,3038.0,0.0
ADANIPORTS,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1430.0,1430.0,1430.0,1430.0,0.0
ADANIPORTS,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1657.300048828125,1657.300048828125,1657.300048828125,1657.300048828125,0.0
ADANIPORTS,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1824.5,1824.5,1824.5,1824.5,0.0
ADANIPORTS,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1796.0,1796.0,1796.0,1796.0,0.0
APOLLOHOSP,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,7272.5,7272.5,7272.5,7272.5,0.0
APOLLOHOSP,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,7636.5,7636.5,7636.5,7636.5,0.0
APOLLOHOSP,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,8272.5,8272.5,8272.5,8272.5,0.0
APOLLOHOSP,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,8592.0,8592.0,8592.0,8592.0,0.0
ASIANPAINT,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2813.89990234375,2813.89990234375,2813.89990234375,2813.89990234375,0.0
ASIANPAINT,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2444.5,2444.5,2444.5,2444.5,0.0
ASIANPAINT,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2671.89990234375,2671.89990234375,2671.89990234375,2671.89990234375,0.0
ASIANPAINT,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2645.199951171875,2645.199951171875,2645.199951171875,2645.199951171875,0.0
AXISBANK,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1298.800048828125,1298.800048828125,1298.800048828125,1298.800048828125,0.0
