symbol,date,status,old_open,old_high,old_low,old_close,old_volume,new_open,new_high,new_low,new_close,new_volume
ADANIENT,2025-03-18,REPAIRED_FROM_NSE,2252.699951171875,2252.699951171875,2252.699951171875,2252.699951171875,0.0,2274.0,2314.2,2259.75,2308.5,878007.0
ADANIPORTS,2025-03-18,REPAIRED_FROM_NSE,1137.1500244140625,1137.1500244140625,1137.1500244140625,1137.1500244140625,0.0,1149.9,1161.0,1137.95,1158.8,1865040.0
APOLLOHOSP,2025-03-18,REPAIRED_FROM_NSE,6156.64990234375,6156.64990234375,6156.64990234375,6156.64990234375,0.0,6209.9,6260.95,6162.5,6246.8,308477.0
ASIANPAINT,2025-03-18,REPAIRED_FROM_NSE,2219.550048828125,2219.550048828125,2219.550048828125,2219.550048828125,0.0,2230.65,2290.0,2222.75,2273.95,816364.0
AXISBANK,2025-03-18,REPAIRED_FROM_NSE,1034.1500244140625,1034.1500244140625,1034.1500244140625,1034.1500244140625,0.0,1044.15,1054.25,1033.7,1045.25,7365940.0
BAJAJ-AUTO,2024-01-15,REPAIRED_FROM_NSE,7301.9501953125,7301.9501953125,7301.9501953125,7301.9501953125,0.0,7364.0,7419.0,7304.05,7332.1,440410.0
BAJAJ-AUTO,2025-03-18,REPAIRED_FROM_NSE,7486.0498046875,7486.0498046875,7486.0498046875,7486.0498046875,0.0,7523.4,7642.1,7512.85,7613.4,354990.0
BAJAJFINSV,2025-03-18,REPAIRED_FROM_NSE,1871.5999755859373,1871.5999755859373,1871.5999755859373,1871.5999755859373,0.0,1900.0,1907.85,1833.25,1844.65,4342446.0
BAJFINANCE,2025-03-18,REPAIRED_FROM_NSE,858.0349731445312,858.0349731445312,858.0349731445312,858.0349731445312,0.0,8615.0,8699.0,8494.8,8682.5,1103110.0
BEL,2025-03-18,REPAIRED_FROM_NSE,279.92999267578125,279.92999267578125,279.92999267578125,279.92999267578125,0.0,282.0,286.0,280.31,285.31,15290505.0
BHARTIARTL,2025-03-18,REPAIRED_FROM_NSE,1639.1500244140625,1639.1500244140625,1639.1500244140625,1639.1500244140625,0.0,1649.5,1655.0,1622.1,1627.3,6539954.0
BPCL,2025-03-18,REPAIRED_FROM_NSE,261.4200134277344,261.4200134277344,261.4200134277344,261.4200134277344,0.0,262.15,263.3,259.51,262.18,5548862.0
BRITANNIA,2021-11-04,REPAIRED_FROM_NSE,3629.85009765625,3629.85009765625,3629.85009765625,3629.85009765625,0.0,3658.0,3666.5,3639.35,3652.6,23648.0
BRITANNIA,2022-09-12,REPAIRED_FROM_NSE,3649.5,3649.5,3649.5,3649.5,0.0,3640.2,3697.95,3640.2,3671.85,212688.0
BRITANNIA,2022-10-24,REPAIRED_FROM_NSE,3792.699951171875,3792.699951171875,3792.699951171875,3792.699951171875,0.0,3799.0,3835.6,3712.0,3801.85,32851.0
BRITANNIA,2025-03-18,REPAIRED_FROM_NSE,4674.89990234375,4674.89990234375,4674.89990234375,4674.89990234375,0.0,4695.65,4782.9,4682.7,4768.3,242447.0
CIPLA,2025-03-18,REPAIRED_FROM_NSE,1492.5999755859375,1492.5999755859375,1492.5999755859375,1492.5999755859375,0.0,1499.1,1512.0,1496.8,1508.65,1571087.0
COALINDIA,2025-03-18,REPAIRED_FROM_NSE,385.75,385.75,385.75,385.75,0.0,387.45,393.15,386.45,389.3,6211943.0
DIVISLAB,2025-03-18,REPAIRED_FROM_NSE,5670.85009765625,5670.85009765625,5670.85009765625,5670.85009765625,0.0,5680.0,5809.0,5627.0,5772.95,397067.0
DRREDDY,2025-03-18,REPAIRED_FROM_NSE,1150.699951171875,1150.699951171875,1150.699951171875,1150.699951171875,0.0,1157.8,1169.4,1149.0,1163.7,1734982.0
EICHERMOT,2025-03-18,REPAIRED_FROM_NSE,5050.25,5050.25,5050.25,5050.25,0.0,5066.2,5145.0,5065.7,5127.4,328246.0
GAIL,2025-03-18,REPAIRED_FROM_NSE,156.5800018310547,156.5800018310547,156.5800018310547,156.5800018310547,0.0,157.6,164.25,157.1,163.0,12630804.0
GRASIM,2025-03-18,REPAIRED_FROM_NSE,2399.35009765625,2399.35009765625,2399.35009765625,2399.35009765625,0.0,2402.35,2428.0,2397.0,2421.65,423611.0
HCLTECH,2025-03-18,REPAIRED_FROM_NSE,1545.1500244140625,1545.1500244140625,1545.1500244140625,1545.1500244140625,0.0,1545.15,1560.95,1530.65,1558.2,2930865.0
HDFCBANK,2025-03-18,REPAIRED_FROM_NSE,855.2000122070312,855.2000122070312,855.2000122070312,855.2000122070312,0.0,1728.0,1737.4,1715.05,1732.2,10953589.0
HDFCLIFE,2025-03-18,REPAIRED_FROM_NSE,629.7999877929688,629.7999877929688,629.7999877929688,629.7999877929688,0.0,631.15,641.65,629.15,640.55,2094678.0
HEROMOTOCO,2025-03-18,REPAIRED_FROM_NSE,3493.10009765625,3493.10009765625,3493.10009765625,3493.10009765625,0.0,3500.0,3571.7,3500.0,3564.65,533589.0
HINDALCO,2025-03-18,REPAIRED_FROM_NSE,680.75,680.75,680.75,680.75,0.0,689.25,701.0,685.95,697.85,5954283.0
HINDUNILVR,2025-03-18,REPAIRED_FROM_NSE,2171.25,2171.25,2171.25,2171.25,0.0,2189.65,2215.0,2175.0,2201.4,1475585.0
ICICIBANK,2025-03-18,REPAIRED_FROM_NSE,1269.0,1269.0,1269.0,1269.0,0.0,1285.5,1313.85,1280.65,1309.85,15645427.0
INDIGO,2025-03-18,REPAIRED_FROM_NSE,4780.4501953125,4780.4501953125,4780.4501953125,4780.4501953125,0.0,4792.45,4824.8,4717.25,4806.25,779629.0
INDUSINDBK,2025-03-18,REPAIRED_FROM_NSE,677.4000244140625,677.4000244140625,677.4000244140625,677.4000244140625,0.0,685.95,686.8,670.6,681.45,12117539.0
INFY,2025-03-18,REPAIRED_FROM_NSE,1590.050048828125,1590.050048828125,1590.050048828125,1590.050048828125,0.0,1597.65,1612.9,1582.35,1609.35,6298054.0
IOC,2025-03-18,REPAIRED_FROM_NSE,124.11000061035156,124.11000061035156,124.11000061035156,124.11000061035156,0.0,124.5,125.5,123.68,125.15,8940367.0
JIOFIN,2024-01-15,REPAIRED_FROM_NSE,255.0500030517578,255.0500030517578,255.0500030517578,255.0500030517578,0.0,258.0,269.7,257.05,266.75,68617372.0
JIOFIN,2025-03-18,REPAIRED_FROM_NSE,219.5200042724609,219.5200042724609,219.5200042724609,219.5200042724609,0.0,221.1,225.5,220.71,225.18,28081319.0
JSWSTEEL,2021-11-04,REPAIRED_FROM_NSE,680.25,680.25,680.25,680.25,0.0,680.95,685.0,677.15,678.65,352700.0
JSWSTEEL,2022-09-12,REPAIRED_FROM_NSE,686.9500122070312,686.9500122070312,686.9500122070312,686.9500122070312,0.0,687.3,694.4,681.45,686.55,2582240.0
JSWSTEEL,2022-10-24,REPAIRED_FROM_NSE,622.0499877929688,622.0499877929688,622.0499877929688,622.0499877929688,0.0,622.0,633.95,620.55,629.6,834558.0
JSWSTEEL,2025-03-18,REPAIRED_FROM_NSE,1005.7000122070312,1005.7000122070312,1005.7000122070312,1005.7000122070312,0.0,1014.9,1020.65,1002.55,1018.05,1069485.0
KOTAKBANK,2025-03-18,REPAIRED_FROM_NSE,398.6199951171875,398.6199951171875,398.6199951171875,398.6199951171875,0.0,2000.0,2039.0,1988.6,2034.0,5384288.0
LT,2025-03-18,REPAIRED_FROM_NSE,3173.449951171875,3173.449951171875,3173.449951171875,3173.449951171875,0.0,3194.0,3278.65,3189.3,3270.7,2029984.0
M&M,2025-03-18,REPAIRED_FROM_NSE,2705.14990234375,2705.14990234375,2705.14990234375,2705.14990234375,0.0,2732.3,2798.0,2715.05,2791.4,3522624.0
M&M,2025-09-08,REPAIRED_FROM_NSE,3561.300048828125,3561.300048828125,3561.300048828125,3561.300048828125,0.0,3585.0,3715.2,3579.1,3701.4,4623789.0
