symbol,name,market,exchange
AAAP,Pacer Barings CLO Market Flex ETF,us,NASDAQ
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,us,NASDAQ
AACBR,Artius II Acquisition Inc. - Rights,us,NASDAQ
AACBU,Artius II Acquisition Inc. - Units,us,NASDAQ
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",us,NASDAQ
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,us,NASDAQ
AACIU,Armada Acquisition Corp. III - Units,us,NASDAQ
AACIW,Armada Acquisition Corp. III - Warrant,us,NASDAQ
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,us,NASDAQ
AACOU,Abony Acquisition Corp. I - Units,us,NASDAQ
AACOW,Abony Acquisition Corp. I - Warrants,us,NASDAQ
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,us,NASDAQ
AACPR,Apogee Acquisition Corp - Rights,us,NASDAQ
AACPU,Apogee Acquisition Corp - Units,us,NASDAQ
AACPW,Apogee Acquisition Corp - Warrant,us,NASDAQ
AADR,AdvisorShares Dorsey Wright ADR ETF,us,NASDAQ
AAEQ,Alpha Architect US Equity 2 ETF,us,NASDAQ
AAL,"American Airlines Group, Inc. - Common Stock",us,NASDAQ
AALG,Leverage Shares 2X Long AAL Daily ETF,us,NASDAQ
AAME,Atlantic American Corporation - Common Stock,us,NASDAQ
AAOI,"Applied Optoelectronics, Inc. - Common Stock",us,NASDAQ
AAON,"AAON, Inc. - Common Stock",us,NASDAQ
AAPB,GraniteShares 2x Long AAPL Daily ETF,us,NASDAQ
AAPD,Direxion Daily AAPL Bear 1X ETF,us,NASDAQ
AAPG,Ascentage Pharma Group International - American Depository Shares,us,NASDAQ
AAPL,Apple Inc. - Common Stock,us,NASDAQ
AAPU,Direxion Daily AAPL Bull 2X ETF,us,NASDAQ
AARD,"Aardvark Therapeutics, Inc. - Common Stock",us,NASDAQ
AAUS,Alpha Architect US Equity ETF,us,NASDAQ
AAVM,Alpha Architect Global Factor Equity ETF,us,NASDAQ
AAXJ,iShares MSCI All Country Asia ex Japan ETF,us,NASDAQ
ABAT,American Battery Technology Company - Common Stock,us,NASDAQ
ABCL,AbCellera Biologics Inc. - Common Shares,us,NASDAQ
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,us,NASDAQ
ABEO,Abeona Therapeutics Inc. - Common Stock,us,NASDAQ
ABI,VictoryShares Pioneer Asset-Based Income ETF,us,NASDAQ
ABIG,Argent Large Cap ETF,us,NASDAQ
ABLV,Able View Global Inc. - Class B Ordinary Shares,us,NASDAQ
ABLVW,Able View Global Inc. - Warrant,us,NASDAQ
ABNB,"Airbnb, Inc. - Class A Common Stock",us,NASDAQ
ABNG,Leverage Shares 2x Long ABNB Daily ETF,us,NASDAQ
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",us,NASDAQ
ABSI,Absci Corporation - Common Stock,us,NASDAQ
ABTC,American Bitcoin Corp. - Class A Common Stock,us,NASDAQ
ABTS,Abits Group Inc - Ordinary Shares,us,NASDAQ
ABUS,Arbutus Biopharma Corporation - Common Stock,us,NASDAQ
ABVC,"ABVC BioPharma, Inc. - Common Stock",us,NASDAQ
ABVX,Abivax SA - American Depositary Shares,us,NASDAQ
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,us,NASDAQ
ACAAU,Averin Capital Acquisition Corp. - Units,us,NASDAQ
ACAAW,Averin Capital Acquisition Corp. - Warrants,us,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,us,NASDAQ
ACB,Aurora Cannabis Inc. - Common Shares,us,NASDAQ
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,us,NASDAQ
ACDC,ProFrac Holding Corp. - Class A Common Stock,us,NASDAQ
ACEP,ARS Core Equity Portfolio ETF,us,NASDAQ
ACET,"Adicet Bio, Inc. - Common Stock",us,NASDAQ
ACFN,"Acorn Energy, Inc. - Common Stock",us,NASDAQ
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,us,NASDAQ
ACGCU,ACP Holdings Acquisition Corp. - Units,us,NASDAQ
ACGCW,ACP Holdings Acquisition Corp. - Warrants,us,NASDAQ
ACGL,Arch Capital Group Ltd. - Common Stock,us,NASDAQ
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",us,NASDAQ
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",us,NASDAQ
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",us,NASDAQ
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",us,NASDAQ
ACIC,American Coastal Insurance Corporation - Common Stock,us,NASDAQ
ACIU,AC Immune SA - Common Stock,us,NASDAQ
ACIW,"ACI Worldwide, Inc. - Common Stock",us,NASDAQ
ACLS,"Axcelis Technologies, Inc. - Common Stock",us,NASDAQ
ACMR,"ACM Research, Inc. - Class A Common Stock",us,NASDAQ
ACNB,ACNB Corporation - Common Stock,us,NASDAQ
ACNT,Ascent Industries Co. - Common Stock,us,NASDAQ
ACOG,Alpha Cognition Inc. - Common Stock,us,NASDAQ
ACON,"Aclarion, Inc. - Common Stock",us,NASDAQ
ACONW,"Aclarion, Inc. - Warrant",us,NASDAQ
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",us,NASDAQ
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",us,NASDAQ
ACT,"Enact Holdings, Inc. - Common Stock",us,NASDAQ
ACTG,Acacia Research Corporation - Common Stock,us,NASDAQ
ACTU,"Actuate Therapeutics, Inc. - Common stock",us,NASDAQ
ACWI,iShares MSCI ACWI ETF,us,NASDAQ
ACWX,iShares MSCI ACWI ex U.S. ETF,us,NASDAQ
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",us,NASDAQ
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,us,NASDAQ
ADACU,American Drive Acquisition Company - Units,us,NASDAQ
ADACW,American Drive Acquisition Company - Warrant,us,NASDAQ
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",us,NASDAQ
ADAM,"Adamas Trust, Inc. - Common Stock",us,NASDAQ
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",us,NASDAQ
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",us,NASDAQ
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",us,NASDAQ
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",us,NASDAQ
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",us,NASDAQ
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",us,NASDAQ
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",us,NASDAQ
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",us,NASDAQ
ADBE,Adobe Inc. - Common Stock,us,NASDAQ
ADBG,Leverage Shares 2X Long ADBE Daily ETF,us,NASDAQ
ADEA,Adeia Inc.  - Common Stock,us,NASDAQ
ADGM,"Adagio Medical Holdings, Inc - Common Stock",us,NASDAQ
ADI,"Analog Devices, Inc. - Common Stock",us,NASDAQ
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",us,NASDAQ
ADMA,ADMA Biologics Inc - Common Stock,us,NASDAQ
ADP,"Automatic Data Processing, Inc. - Common Stock",us,NASDAQ
ADPT,Adaptive Biotechnologies Corporation - Common Stock,us,NASDAQ
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,us,NASDAQ
ADSEW,ADS-TEC ENERGY PLC - Warrant,us,NASDAQ
ADSK,"Autodesk, Inc. - Common Stock",us,NASDAQ
ADTN,"ADTRAN Holdings, Inc. - Common Stock",us,NASDAQ
ADUR,Aduro Clean Technologies Inc. - Common Stock,us,NASDAQ
ADUS,Addus HomeCare Corporation - Common Stock,us,NASDAQ
ADV,Advantage Solutions Inc.  - Class A Common Stock,us,NASDAQ
ADVB,Advanced Biomed Inc. - Common Stock,us,NASDAQ
ADXN,Addex Therapeutics Ltd - American Depositary Shares,us,NASDAQ
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,us,NASDAQ
AEAQU,Activate Energy Acquisition Corp. - Unit,us,NASDAQ
AEAQW,Activate Energy Acquisition Corp. - Warrant,us,NASDAQ
AEBI,Aebi Schmidt Holding AG - Common Stock,us,NASDAQ
AEC,Anfield Energy Inc. - Common Shares,us,NASDAQ
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,us,NASDAQ
AEHR,Aehr Test Systems - Common Stock,us,NASDAQ
AEI,Alset Inc. - Common Stock,us,NASDAQ
AEIS,"Advanced Energy Industries, Inc. - Common Stock",us,NASDAQ
AEMD,"Aethlon Medical, Inc. - Common Stock",us,NASDAQ
AENT,Alliance Entertainment Holding Corporation - common stock,us,NASDAQ
AENTW,Alliance Entertainment Holding Corporation - Warrants,us,NASDAQ
AEP,"American Electric Power Company, Inc. - Common Stock",us,NASDAQ
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",us,NASDAQ
AERTW,"Aeries Technology, Inc. - Warrant",us,NASDAQ
AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,us,NASDAQ
AESPR,Aeon Acquisition I Corp. - Rights,us,NASDAQ
AESPU,Aeon Acquisition I Corp. - Units,us,NASDAQ
AESPW,Aeon Acquisition I Corp. - Warrants,us,NASDAQ
AEVA,"Aeva Technologies, Inc. - Common Stock",us,NASDAQ
AEYE,"AudioEye, Inc. - Common Stock",us,NASDAQ
AFBI,"Affinity Bancshares, Inc. - Common Stock",us,NASDAQ
AFCG,Advanced Flower Capital Inc. - Common Stock,us,NASDAQ
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",us,NASDAQ
AFJKR,"Aimei Health Technology Co., Ltd - Right",us,NASDAQ
AFJKU,"Aimei Health Technology Co., Ltd - Unit",us,NASDAQ
AFOS,ARS Focused Opportunity Strategy ETF,us,NASDAQ
AFRI,Forafric Global PLC - Ordinary Shares,us,NASDAQ
AFRIW,Forafric Global PLC - Warrants,us,NASDAQ
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",us,NASDAQ
AFSC,abrdn Focused U.S. Small Cap Active ETF,us,NASDAQ
AFYA,Afya Limited - Class A Common Shares,us,NASDAQ
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,us,NASDAQ
AGEM,abrdn Emerging Markets Dividend Active ETF,us,NASDAQ
AGEN,Agenus Inc. - Common Stock,us,NASDAQ
AGGA,EA Astoria Beacon Dynamic Core US Fixed Income ETF,us,NASDAQ
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",us,NASDAQ
AGIX,KraneShares Public-Private AI & Technology ETF,us,NASDAQ
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,us,NASDAQ
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,us,NASDAQ
AGMI,Themes Silver Miners ETF,us,NASDAQ
AGNC,AGNC Investment Corp. - Common Stock,us,NASDAQ
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",us,NASDAQ
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,us,NASDAQ
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",us,NASDAQ
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",us,NASDAQ
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",us,NASDAQ
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",us,NASDAQ
AGNG,Global X Aging Population ETF,us,NASDAQ
AGNT,"AGNT, Inc. - Common Stock",us,NASDAQ
AGPU,Axe Compute Inc. - Common Stock,us,NASDAQ
AGRZ,Agroz Inc. - Ordinary Shares,us,NASDAQ
AGYS,"Agilysys, Inc. - Common Stock",us,NASDAQ
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,us,NASDAQ
AHCO,AdaptHealth Corp.  - Common Stock,us,NASDAQ
AHD,GraniteShares Autocallable HOOD ETF,us,NASDAQ
AHG,Akso Health Group - American Depositary Shares,us,NASDAQ
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,us,NASDAQ
AIA,iShares Asia 50 ETF,us,NASDAQ
AIAI,AIAI Holdings Corporation - Class A common stock,us,NASDAQ
AIBZ,Bitzero Holdings Inc. - Common Shares,us,NASDAQ
AIDX,"20/20 Biolabs, Inc. - Common Stock",us,NASDAQ
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",us,NASDAQ
AIFC,AI Financial Corporation - Common Stock,us,NASDAQ
AIFD,TCW Artificial Intelligence ETF,us,NASDAQ
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",us,NASDAQ
AIFU,AIFU Inc. - Class A Ordinary Share,us,NASDAQ
AIHS,Senmiao Technology Limited - Common Stock,us,NASDAQ
AIIO,Robo.ai Inc. - Class B Ordinary Shares,us,NASDAQ
AIIOW,Robo.ai Inc. - Warrant,us,NASDAQ
AIIR,Air Global PLC - Ordinary shares,us,NASDAQ
AIMD,"Ainos, Inc. - Common Stock",us,NASDAQ
AIMDW,"Ainos, Inc. - warrants",us,NASDAQ
AIMS,Acuitas Small Cap Active ETF,us,NASDAQ
AIOS,AIOS Tech Inc. - Class A Common Shares,us,NASDAQ
AIOT,"PowerFleet, Inc. - Common Stock",us,NASDAQ
AIP,"Arteris, Inc.  - Common Stock",us,NASDAQ
AIPI,REX AI Equity Premium Income ETF,us,NASDAQ
AIPO,Defiance AI & Power Infrastructure ETF,us,NASDAQ
AIQ,Global X Artificial Intelligence & Technology ETF,us,NASDAQ
AIRE,reAlpha Tech Corp. - Common Stock,us,NASDAQ
AIRG,"Airgain, Inc. - Common Stock",us,NASDAQ
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,us,NASDAQ
AIRJW,AirJoule Technologies Corporation - Warrant,us,NASDAQ
AIRO,"AIRO Group Holdings, Inc. - Common Stock",us,NASDAQ
AIRR,First Trust RBA American Industrial Renaissance ETF,us,NASDAQ
AIRS,"AirSculpt Technologies, Inc. - Common Stock",us,NASDAQ
AIRT,"Air T, Inc. - Common Stock",us,NASDAQ
AIRTP,"Air T, Inc. - Trust Preferred Securities",us,NASDAQ
AISP,"Airship AI Holdings, Inc - Class A Common Stock",us,NASDAQ
AISPW,"Airship AI Holdings, Inc - Warrants",us,NASDAQ
AIX,Defiance US 100 Tech AI Moat ETF,us,NASDAQ
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",us,NASDAQ
AIXI,XIAO-I Corporation - American Depositary Shares,us,NASDAQ
AKAM,"Akamai Technologies, Inc. - Common Stock",us,NASDAQ
AKAN,Akanda Corp. - Common Shares,us,NASDAQ
AKBA,"Akebia Therapeutics, Inc. - Common Stock",us,NASDAQ
AKTS,"Aktis Oncology, Inc. - Common stock",us,NASDAQ
AKTX,Akari Therapeutics Plc - American Depositary Shares,us,NASDAQ
ALAB,"Astera Labs, Inc. - Common Stock",us,NASDAQ
ALAR,Alarum Technologies Ltd. - American Depositary Shares,us,NASDAQ
ALBG,Leverage Shares 2X Long ALB Daily ETF,us,NASDAQ
ALBT,Avalon GloboCare Corp. - Common Stock,us,NASDAQ
ALCO,"Alico, Inc. - Common Stock",us,NASDAQ
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,us,NASDAQ
ALDFU,Aldel Financial II Inc. - Units,us,NASDAQ
ALDFW,Aldel Financial II Inc. - Warrants,us,NASDAQ
